type_habits,price,adress,url_image,type_chaussure,type_chaussures,url_image_pure,web_scraper_start_url,categorie_exacte,prix_num
,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2629141_uploaded_image1_1600221342.jpg,,Chaussures enfant,https://images.coinafrique.com/2629141_uploaded_image1_1600221342.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2642974_uploaded_image1_1600732549.jpg,,Chaussures enfants,https://images.coinafrique.com/2642974_uploaded_image1_1600732549.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,5 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2646040_uploaded_image1_1600852986.jpg,,Chaussures enfants,https://images.coinafrique.com/2646040_uploaded_image1_1600852986.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,5000.0
,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2655658_uploaded_image1_1601252815.jpg,,Chaussures enfant,https://images.coinafrique.com/2655658_uploaded_image1_1601252815.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,3 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2658953_uploaded_image1_1601383073.jpg,,Chaussures enfant,https://images.coinafrique.com/2658953_uploaded_image1_1601383073.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,3 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2658958_uploaded_image1_1601383110.jpg,,Chaussures enfant,https://images.coinafrique.com/2658958_uploaded_image1_1601383110.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,10 000,"Dakar, Sénégal",https://images.coinafrique.com/2671653_uploaded_image1_1601824422.jpg,,Chaussures enfants,https://images.coinafrique.com/2671653_uploaded_image1_1601824422.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2686221_uploaded_image1_1602375459.jpg,,Chaussures Enfants,https://images.coinafrique.com/2686221_uploaded_image1_1602375459.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2705566_uploaded_image1_1603128488.jpg,,Chaussures enfants,https://images.coinafrique.com/2705566_uploaded_image1_1603128488.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/2710760_uploaded_image1_1603327864.jpg,,Chaussures Enfant,https://images.coinafrique.com/2710760_uploaded_image1_1603327864.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2717389_uploaded_image1_1603638267.jpg,,Sandales Adidas Yeezy,https://images.coinafrique.com/2717389_uploaded_image1_1603638267.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,2 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2720321_uploaded_image1_1603756962.jpg,,Chaussures enfant,https://images.coinafrique.com/2720321_uploaded_image1_1603756962.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2500.0
,8 000,"Dakar, Sénégal",https://images.coinafrique.com/2726067_uploaded_image1_1604015534.jpg,,Chaussures pour enfants,https://images.coinafrique.com/2726067_uploaded_image1_1604015534.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,8000.0
,Prix sur demande,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/2726794_uploaded_image1_1604060597.jpg,,Chaussures bébé,https://images.coinafrique.com/2726794_uploaded_image1_1604060597.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,10 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/2732252_uploaded_image1_1604327384.jpg,,Chaussures enfant,https://images.coinafrique.com/2732252_uploaded_image1_1604327384.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,2 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2733477_uploaded_image1_1604363169.jpg,,Chaussures enfant,https://images.coinafrique.com/2733477_uploaded_image1_1604363169.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2500.0
,3 500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2734509_uploaded_image1_1604404615.jpg,,Chaussures Enfant,https://images.coinafrique.com/2734509_uploaded_image1_1604404615.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3500.0
,10 000,"Dakar, Sénégal",https://images.coinafrique.com/2734564_uploaded_image1_1604405272.jpg,,Chaussures fille,https://images.coinafrique.com/2734564_uploaded_image1_1604405272.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,12 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2735476_uploaded_image1_1604424098.jpg,,Chaussures enfant,https://images.coinafrique.com/2735476_uploaded_image1_1604424098.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,12000.0
,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2738977_uploaded_image1_1604527399.jpg,,Chaussures enfants,https://images.coinafrique.com/2738977_uploaded_image1_1604527399.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
