web_scraper_order,web_scraper_start_url,container_links,type_chaussure,price,adress,url_image
"1771237700-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-dior-cd-b30-5531000","Chaussures Dior cd b30","27 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5531000_uploaded_image1_1758144695.jpg""); width: 585px;"
"1771237703-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5532315","Chaussures homme","15 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5532315_uploaded_image1_1758209817.jpg""); width: 555px;"
"1771237705-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5532328","Chaussures homme","14 900 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5532328_uploaded_image1_1758210331.jpg""); width: 555px;"
"1771237708-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5532358","Chaussures homme","14 900 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5532358_uploaded_image1_1758212393.jpg""); width: 555px;"
"1771237710-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5534539","Chaussures homme","14 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5534539_uploaded_image1_1758318499.jpg""); width: 546px;"
"1771237712-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/claquettes-homme-5536826","Claquettes homme","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5536826_uploaded_image1_1758483459.jpg""); width: 593px;"
"1771237715-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5540358","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5540358_uploaded_image1_1758658630.jpg""); width: 407px;"
"1771237717-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5540359","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5540359_uploaded_image1_1758658704.jpg""); width: 407px;"
"1771237720-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/crampons-nike-5540996","Crampons Nike","18 500 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5540996_uploaded_image1_1758700997.jpg""); width: 524px;"
"1771237722-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5541013","Chaussures Nike","18 500 CFA","Sacré-Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5541013_uploaded_image1_1758702097.jpg""); width: 547px;"
