type_chaussure,price,adress,url_image
Baskets Vomero 5 grey,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670091_uploaded_image1_1765572375.jpg
Baskets Air Force one low,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670087_uploaded_image1_1765572281.jpg
Baskets Nike shox,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670096_uploaded_image1_1765572588.jpg
Baskets Air force one,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670093_uploaded_image1_1765572493.jpg
Chaussures Nike shox R4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670082_uploaded_image1_1765572126.jpg
Asic kayono,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656438_uploaded_image1_1764880204.jpg
Asic kayono 14,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656440_uploaded_image1_1764880329.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656445_uploaded_image1_1764880538.jpg
Baskets Louis Vuitton,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656449_uploaded_image1_1764880744.jpg
Sandale Dior alpha,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5656452_uploaded_image1_1764880848.jpg
Baskets Asic 1130,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656446_uploaded_image1_1764880658.jpg
Baskets Saucony,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656454_uploaded_image1_1764880975.jpg
Baskets Air Max 95,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5656457_uploaded_image1_1764881079.jpg
Nike Air Max 95,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5666571_uploaded_image1_1765401673.jpg
Dior b22,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5666578_uploaded_image1_1765401789.jpg
Nike Air Max 95,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5666574_uploaded_image1_1765401723.jpg
Dior b22,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5666583_uploaded_image1_1765401903.jpg
Baskets Jordan 4 rétro,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656461_uploaded_image1_1764881200.jpg
Baskets Timberland,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5656479_uploaded_image1_1764881761.jpg
Dior b22,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5666582_uploaded_image1_1765401850.jpg
Timberland boots,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5670171_uploaded_image1_1765575893.jpg
Baskets Jordan 3 rétro,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5658114_uploaded_image1_1764969274.jpg
Baskets Nike P6000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656495_uploaded_image1_1764882253.jpg
Baskets Air force 1,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5656488_uploaded_image1_1764881966.jpg
Baskets Jordan 3,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5656508_uploaded_image1_1764882568.jpg
New Balance,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656513_uploaded_image1_1764882662.jpg
New Balance Fuel cell,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656501_uploaded_image1_1764882356.jpg
Baskets Air force 1,19 000,"Dakar, Sénégal",https://images.coinafrique.com/5656505_uploaded_image1_1764882446.jpg
Baskets Nike TN,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5656485_uploaded_image1_1764881869.jpg
Baskets Air force 1 montante,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5656516_uploaded_image1_1764882787.jpg
Baskets Timberland boots,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5670176_uploaded_image1_1765576010.jpg
Baskets Louis vuitton,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5656538_uploaded_image1_1764883544.jpg
Asic Gel Nyc,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656524_uploaded_image1_1764883061.jpg
Louis vuitton skate,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656527_uploaded_image1_1764883123.jpg
Baskets Jordan 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656536_uploaded_image1_1764883328.jpg
Dior cd,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656533_uploaded_image1_1764883235.jpg
Baskets Fendi,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5656541_uploaded_image1_1764883603.jpg
Nike shox R4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685654_uploaded_image1_1766444577.jpg
New balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685653_uploaded_image1_1766444520.jpg
Baskets Nike nocta,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5656544_uploaded_image1_1764883707.jpg
Baskets Adidas samba,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5656549_uploaded_image1_1764883907.jpg
Nice Air Max,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5658154_uploaded_image1_1764971268.jpg
Nike Air Max moto,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5658152_uploaded_image1_1764971196.jpg
Baskets Nike Air Max moto,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5658145_uploaded_image1_1764970934.jpg
Chaussures de ville,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5660965_uploaded_image1_1765145291.jpg
Chaussures de ville,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5660971_uploaded_image1_1765145411.jpg
Chaussures de ville,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5660969_uploaded_image1_1765145356.jpg
Chaussures de ville,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5660975_uploaded_image1_1765145484.jpg
Chaussures de ville,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5660977_uploaded_image1_1765145540.jpg
New Balance,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5674245_uploaded_image1_1765839813.jpg
Asic gel kayono,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5674249_uploaded_image1_1765839904.jpg
Asic gel,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5674251_uploaded_image1_1765839964.jpg
Nike Air force 1 cacao,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5664658_uploaded_image1_1765320885.jpg
Baskets New Balance 1000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5664664_uploaded_image2_1765321021.jpeg
New Balance 1000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5664667_uploaded_image1_1765321088.jpg
Baskets Air force one,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683004_uploaded_image1_1766275716.jpg
Air force one,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683003_uploaded_image1_1766275668.jpg
Louis vuitton alden,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5659605_uploaded_image1_1765061738.jpg
Mocassins,14 000,"Dakar, Sénégal",https://images.coinafrique.com/5681882_uploaded_image1_1766220869.jpg
Mocassins homme,14 000,"Dakar, Sénégal",https://images.coinafrique.com/5681879_uploaded_image1_1766220813.jpg
Baskets Adidas,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5684648_uploaded_image1_1766398735.jpg
Baskets Adidas,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5684645_uploaded_image1_1766398619.jpg
Chaussures homme,30 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5701158_uploaded_image1_1767442903.jpg
Chaussures Adidas Spezial,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5686387_uploaded_image1_1766491816.jpg
Puma speedcat blue,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5686391_uploaded_image1_1766491918.jpg
Baskets Puma speedcat blue,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5686398_uploaded_image1_1766492033.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675107_uploaded_image1_1765885282.jpg
Chaussures New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675109_uploaded_image1_1765885332.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675111_uploaded_image1_1765885381.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675116_uploaded_image1_1765885490.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675114_uploaded_image1_1765885442.jpg
Baskets New Balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5675150_uploaded_image1_1765886318.jpg
Nike shox r4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683579_uploaded_image1_1766328567.jpg
Baskets Nike nocta,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5688215_uploaded_image1_1766588855.jpg
Baskets Nike Nocta,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5688217_uploaded_image1_1766588906.jpg
Baskets Nike Nocta,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5688212_uploaded_image1_1766588802.jpg
Jordan 11,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5682349_uploaded_image1_1766243825.jpg
New Balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697822_uploaded_image1_1767207853.jpg
New Balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697823_uploaded_image1_1767207949.jpg
Nike free metcon6,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697826_uploaded_image1_1767208183.jpg
New Balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697825_uploaded_image1_1767208036.jpg
Baskets Prada,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5690656_uploaded_image1_1766775047.jpg
Baskets Jordan 5,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5690650_uploaded_image1_1766774637.jpg
Puma Magmax nitro,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697829_uploaded_image1_1767208462.jpg
New Balance X lord piana,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5697830_uploaded_image1_1767208577.jpg
Baskets New Balance,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5662321_uploaded_image1_1765216328.jpg
Asic NYC,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685346_uploaded_image1_1766430764.jpg
Asic NYC,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685344_uploaded_image1_1766430679.jpg
Asic,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685339_uploaded_image1_1766430531.jpg
Asic 1130,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5685340_uploaded_image1_1766430589.jpg
Chaussures  homme,30 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5702353_uploaded_image1_1767523599.jpg
Chaussures homme,13 500,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5702755_uploaded_image1_1767543605.jpg
Chaussures hommes,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5702938_uploaded_image1_1767550831.jpg
Chaussures hommes,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5702940_uploaded_image1_1767550882.jpg
Chaussures hommes,12 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5702941_uploaded_image1_1767550946.jpg
Crocs Vip,15 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5703224_uploaded_image1_1767565279.jpg
Crocs homme,10 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5703227_uploaded_image1_1767565385.jpg
Baskets homme,6 000,"Diourbel, Sénégal",https://images.coinafrique.com/5708139_uploaded_image1_1767785128.jpg
Chaussures  homme,8 000,"Diourbel, Sénégal",https://images.coinafrique.com/5708144_uploaded_image1_1767785229.jpg
Chaussures  homme,8 000,"Diourbel, Sénégal",https://images.coinafrique.com/5708158_uploaded_image1_1767785483.jpg
Chaussures  homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5709007_uploaded_image1_1767816836.jpg
Sandales homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5713963_uploaded_image1_1768047987.jpg
Chaussures  homme,15 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5714834_uploaded_image1_1768103056.jpg
Chaussures  homme,22 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5715935_uploaded_image1_1768181423.jpg
Chaussures orthopédique,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5716135_uploaded_image1_1768204513.jpg
Chaussures  homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5716365_uploaded_image1_1768211528.jpg
Mocassins homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5716397_uploaded_image1_1768212595.jpg
Baskets Nike TN,15 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5716742_uploaded_image1_1768223689.jpg
Chaussures orthopédiques,10 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5716881_uploaded_image1_1768228848.jpg
Baskets Adidas Samba,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5719018_uploaded_image1_1768319934.jpg
Baskets New Balance 530,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5719023_uploaded_image1_1768320082.jpg
Baskets New Balance 1000,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5719027_uploaded_image1_1768320204.jpg
Baskets Sebago,13 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5719030_uploaded_image1_1768320367.jpg
Chaussures New Balance 1000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5719051_uploaded_image1_1768321795.jpg
Chaussures New Balance 1000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5719053_uploaded_image1_1768321893.jpg
Baskets Jordan One Low,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5719291_uploaded_image1_1768334077.jpg
Crocs homme,8 000,"Keur Massar, Sénégal",https://images.coinafrique.com/5720276_uploaded_image1_1768382635.jpg
Baskets Hermes Chypre,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5724452_uploaded_image1_1768570104.jpg
Chaussures  homme,32 000,"Dakar, Sénégal",https://images.coinafrique.com/5729550_uploaded_image1_1768854964.jpg
Chaussures Sebago,13 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5737758_uploaded_image1_1769194673.jpg
Timberlands Louis Vouitton,35 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5740527_uploaded_image1_1769343954.jpg
Baskets New Balance 1000,30 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5740531_uploaded_image1_1769344168.jpg
Timberlands Louis Vouitton,35 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5740532_uploaded_image1_1769344299.jpg
Chaussures Campus,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5745868_uploaded_image1_1769592986.jpg
Chaussures tn,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5745876_uploaded_image1_1769593110.jpg
Chaussures Campus,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5745914_uploaded_image1_1769593852.jpg
Chaussures TN,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5745917_uploaded_image1_1769593923.jpg
Vans Timberland,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5746866_uploaded_image1_1769619782.jpg
Chaussures  homme,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5746871_uploaded_image1_1769620042.jpg
Chaussures orthopédique,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5747230_uploaded_image1_1769646220.jpg
Chaussures  homme,18 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5747868_uploaded_image1_1769685507.jpg
Baskets Hugo Boss,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5748195_uploaded_image1_1769697106.jpg
Chaussures Timberland,35 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5748200_uploaded_image1_1769697271.jpg
Baskets Air Force One,12 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5748304_uploaded_image1_1769701708.jpg
Chaussures Hermès,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5751239_uploaded_image1_1769862397.jpg
Chaussures hommes,13 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5756505_uploaded_image1_1770135001.jpg
Baskets Adidas/ Adistar répétitor,18 000,"Dakar, Sénégal",https://images.coinafrique.com/5758312_uploaded_image1_1770221944.jpg
Baskets Adidas Samba,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5758567_uploaded_image1_1770231739.jpg
Baskets Adidas Samba,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5758571_uploaded_image1_1770232010.jpg
Sneakers navy flex,30 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5759795_uploaded_image1_1770295782.jpg
Chaussures  homme,13 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5760425_uploaded_image1_1770321277.jpg
Jordan 4 authentiques originales,40 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5760593_uploaded_image1_1770325855.jpg
Chaussures homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5760749_uploaded_image1_1770329899.jpg
Chaussures homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5760772_uploaded_image1_1770330772.jpg
Sandales orthopédique,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5762297_uploaded_image1_1770399973.jpg
Baskets Nike,13 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5762812_uploaded_image1_1770417372.jpg
Crocs sandales,6 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5714676_uploaded_image1_1768087120.jpg
Palladium pampa high,15 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/5766336_uploaded_image1_1770641061.jpg
Chaussures  homme,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5769513_uploaded_image1_1770814954.jpg
Chaussures  homme,15 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5769521_uploaded_image1_1770815084.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5769535_uploaded_image1_1770815457.jpg
Babouches en cuir,14 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5770309_uploaded_image1_1770844995.jpg
Sandales en cuir,13 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5770322_uploaded_image1_1770845540.jpg
Chaussures  homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5771368_uploaded_image1_1770899493.jpg
Chaussures  homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5771379_uploaded_image1_1770899713.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771387_uploaded_image1_1770899906.jpg
Chaussures  homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5771394_uploaded_image1_1770900035.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771400_uploaded_image1_1770900243.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771406_uploaded_image1_1770900318.jpg
Nike P6000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771410_uploaded_image1_1770900442.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771415_uploaded_image1_1770900566.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771468_uploaded_image1_1770902125.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771479_uploaded_image1_1770902639.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771489_uploaded_image1_1770902889.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771496_uploaded_image1_1770903006.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5771502_uploaded_image1_1770903126.jpg
Chaussures  homme,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5771511_uploaded_image1_1770903306.jpg
Chaussures Hermès,140 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5773512_uploaded_image1_1771005158.jpg
Chaussures homme,15 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5773520_uploaded_image1_1771005361.jpg
Chaussures homme,22 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5749905_uploaded_image1_1769782261.jpg
Chaussures homme,15 000,"Dakar, Sénégal",https://images.coinafrique.com/5774677_uploaded_image1_1771092238.jpg
Chaussures Prada,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5774787_uploaded_image1_1771102876.jpg
