type_habits,price,adress,url_image
Vêtement enfant,5 000,"Dakar, Sénégal",https://images.coinafrique.com/3753646_uploaded_image2_1655912715.jpeg
Robe enfant,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3754882_uploaded_image1_1655981151.jpg
Robe enfant,7 000,"Dakar, Sénégal",https://images.coinafrique.com/3754885_uploaded_image1_1655981294.jpg
Robe enfant,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3754887_uploaded_image1_1655981354.jpg
Protège-tête,Prix sur demande,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/3794079_uploaded_image1_1658423773.jpg
Costume garçon  - 4 pièces,27 000,"Dakar, Sénégal",https://images.coinafrique.com/3795696_uploaded_image1_1658520434.jpg
Ensembles enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3778201_uploaded_image1_1657304423.jpg
Robe d'été enfants,2 000,"Dakar, Sénégal",https://images.coinafrique.com/3825327_uploaded_image1_1660216212.jpg
Habits enfants,7 000,"Dakar, Sénégal",https://images.coinafrique.com/3785557_uploaded_image1_1657882962.jpg
Vêtements enfants,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3785559_uploaded_image1_1657883070.jpg
Jeans enfants,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3785562_uploaded_image1_1657883147.jpg
Robe petite fille,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3785563_uploaded_image1_1657883218.jpg
Habits enfants,3 000,"Dakar, Sénégal",https://images.coinafrique.com/3785558_uploaded_image1_1657883008.jpg
Vêtements enfants,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3831624_uploaded_image1_1660600357.jpg
Vêtements bébé,6 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3841108_uploaded_image1_1661172378.jpg
Vêtements bébé,3 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3841152_uploaded_image1_1661173639.jpg
Dessous enfants,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/3848809_uploaded_image1_1661581124.jpg
Boubou bazin riche,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/3808232_uploaded_image1_1659347593.jpg
Barboteuse,5 000,"Dakar, Sénégal",https://images.coinafrique.com/3813274_uploaded_image1_1659542533.jpg
Ensemble bandeaux chaussettes,1 500,"Dakar, Sénégal",https://images.coinafrique.com/3813301_uploaded_image1_1659543149.jpg
Robe d’anniversaire fille,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3853488_uploaded_image1_1661883039.jpg
Robe d’anniversaire fille,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3853493_uploaded_image1_1661883220.jpg
