web_scraper_order,web_scraper_start_url,container_links,type_habits,price,adress,url_image
"1771238821-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3753646","Vêtement enfant","5 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3753646_uploaded_image2_1655912715.jpeg""); width: 621px;"
"1771238823-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-3754882","Robe enfant","8 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3754882_uploaded_image1_1655981151.jpg""); width: 621px;"
"1771238828-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-3754885","Robe enfant","7 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3754885_uploaded_image1_1655981294.jpg""); width: 621px;"
"1771238831-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-3754887","Robe enfant","8 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3754887_uploaded_image1_1655981354.jpg""); width: 621px;"
"1771238833-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/protege-tete-3794079","Protège-tête","Prix sur demande","Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3794079_uploaded_image1_1658423773.jpg""); width: 624px;"
"1771238838-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/costume-garcon-4-pieces-3795696","Costume garçon  - 4 pièces","27 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3795696_uploaded_image1_1658520434.jpg""); width: 576px;"
"1771238845-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-enfants-3778201","Ensembles enfants","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3778201_uploaded_image1_1657304423.jpg""); width: 484px;"
"1771238847-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/robe-dete-enfants-3825327","Robe d'été enfants","2 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3825327_uploaded_image1_1660216212.jpg""); width: 411px;"
"1771238849-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/habits-enfants-3785557","Habits enfants","7 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3785557_uploaded_image1_1657882962.jpg""); width: 621px;"
"1771238852-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3785559","Vêtements enfants","8 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3785559_uploaded_image1_1657883070.jpg""); width: 621px;"
