type_chaussures,price,adress,url_image
Chaussures enfant,7 500,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752111_uploaded_image1_1605018817.jpg
Chaussures d'été enfants,3 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752129_uploaded_image1_1605019198.jpg
Chaussures enfant,2 500,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752137_uploaded_image1_1605019378.jpg
Chaussures de sport enfants,2 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752149_uploaded_image1_1605019568.jpg
Claquettes enfant,2 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2762753_uploaded_image1_1605397699.jpg
Chaussures  enfants,10 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/2765779_uploaded_image1_1605531902.jpg
Chaussures enfants,15 000,"Ziguinchor, Sénégal",https://images.coinafrique.com/2772383_uploaded_image1_1605772057.jpg
Chaussures enfant,13 000,"Ziguinchor, Sénégal",https://images.coinafrique.com/2772389_uploaded_image1_1605772309.jpg
Baskets Adidas,22 500,"Dakar, Sénégal",https://images.coinafrique.com/2789511_uploaded_image1_1606408266.jpg
Claquettes enfants,6 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2795343_uploaded_image1_1606666445.jpg
Chaussures garçons,3 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/2795704_uploaded_image1_1606681411.jpg
Chaussures enfant,10 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/2797680_uploaded_image1_1606753722.jpg
Chaussures garçon,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2798841_uploaded_image1_1606808767.jpg
Baskets Puma - Adidas,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2818578_uploaded_image1_1607458128.jpg
Chaussure enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2822660_uploaded_image1_1607610140.jpg
Chaussures pour enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2830947_uploaded_image1_1607971324.jpg
Chaussures garçons,10 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2831294_uploaded_image1_1607984493.jpg
Baskets Nike pour enfants,10 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/2837971_uploaded_image1_1608232681.jpg
Chaussures enfant,2 500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2847269_uploaded_image1_1608653733.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2862808_uploaded_image1_1609520465.jpg
Baskets fille,1 000,"Dakar, Sénégal",https://images.coinafrique.com/2905159_uploaded_image1_1611266722.jpg
Chaussures pour enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2924609_uploaded_image1_1612202719.jpg
Baskets Nike,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2924613_uploaded_image1_1612202808.jpg
Chaussures Jordan 11,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2934921_uploaded_image1_1612567043.jpg
Chaussures nourrissons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2942148_uploaded_image1_1612894020.jpg
Chaussures  enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2942161_uploaded_image1_1612894618.jpg
Chaussures  enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2942163_uploaded_image1_1612894677.jpg
Bottes montantes enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2942252_uploaded_image1_1612898624.jpg
Chaussures enfants,3 000,"Dakar, Sénégal",https://images.coinafrique.com/2956562_uploaded_image1_1613573380.jpg
Claquettes enfant,6 000,"Dakar, Sénégal",https://images.coinafrique.com/2972548_uploaded_image1_1614340301.jpg
Chaussures enfant,6 000,"Dakar, Sénégal",
