type_habits,price,adress,url_image
Getzner Super Manium gold original,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5329829_uploaded_image1_1747328462.jpg
Chemise homme,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5339081_uploaded_image1_1747848546.jpg
Lacoste homme,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5329857_uploaded_image1_1747328991.jpg
T-shirt coton,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5329860_uploaded_image1_1747329043.jpg
Babouche hommes,10 000,"Dakar, Sénégal",https://images.coinafrique.com/5348408_uploaded_image1_1748372963.jpg
Jeans homme,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5348424_uploaded_image1_1748373374.jpg
Cargo,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5348426_uploaded_image1_1748373420.jpg
Ensemble homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5348419_uploaded_image1_1748373207.jpg
Jean homme,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5330130_uploaded_image1_1747337463.jpg
Culotte,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5330133_uploaded_image1_1747337550.jpg
Kaki,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5330135_uploaded_image1_1747337609.jpg
Sous-vêtements coton,4 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5342579_uploaded_image1_1748031848.jpg
Lacoste homme,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5342589_uploaded_image1_1748032420.jpg
Ensemble homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5355482_uploaded_image1_1748815370.jpg
Ensemble homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5355495_uploaded_image1_1748815778.jpg
Ensemble,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5355513_uploaded_image1_1748816312.jpg
Lacoste coton,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5362512_uploaded_image1_1749163626.jpg
T-shirt coton,4 000,"Dakar, Sénégal",https://images.coinafrique.com/5362515_uploaded_image1_1749163756.jpg
Ensemble homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5362519_uploaded_image1_1749164046.jpg
